Date,vixChange,netChange,prevChangeNF,prevChangeBNF,NFOIChange,BNFOIChange,basisChange,opengap1,closegap1,highgap1,lowgap1
2014-05-23,-0.73,1.0,0.2,0.6,-4.43,2.06,-13.0,0.5,1.2,1.4,0.2
2014-05-26,12.06,18.0,1.2,1.5,-0.58,0.76,-4.0,0.9,-0.3,1.8,-1.6
2014-05-27,-3.73,-10.0,-0.3,-1.0,-8.94,-7.64,-16.0,-0.0,-0.6,0.1,-1.1
2014-05-28,-8.08,-12.0,-0.6,-0.6,-13.12,1.68,-1.0,0.0,0.2,0.3,-0.2
2014-05-29,-4.94,-4.0,0.2,0.5,-12.25,-0.76,0.0,0.1,-0.9,0.6,-1.2
2014-05-30,-2.13,-5.0,-0.9,-0.7,35.51,52.31,39.0,0.1,-0.4,0.4,-0.6
2014-06-02,0.99,2.0,-0.4,-2.0,8.47,4.97,-37.0,0.3,1.9,2.0,0.1
2014-06-03,-4.26,24.0,1.9,3.5,-1.13,-4.47,6.0,0.2,0.7,0.9,-0.3
2014-06-04,-1.46,8.0,0.7,-0.4,-3.96,-3.58,-4.0,0.0,-0.1,0.2,-0.3
2014-06-05,-0.75,-3.0,-0.1,0.6,-4.66,-3.92,12.0,-0.0,0.9,1.1,-0.5
2014-06-06,3.46,22.0,0.9,0.1,-7.1,-0.28,-2.0,0.8,1.4,1.5,0.3
2014-06-09,6.96,22.0,1.4,1.7,-0.77,-3.51,-7.0,0.5,1.0,1.3,0.4
2014-06-10,-2.53,20.0,1.0,0.1,8.9,1.72,10.0,0.1,-0.0,0.1,-1.1
2014-06-11,2.39,-5.0,-0.0,-0.7,6.07,1.37,-4.0,0.0,-0.4,0.6,-0.8
2014-06-12,-0.92,-10.0,-0.4,0.0,-0.05,-0.95,-2.0,0.0,0.4,0.5,-0.4
2014-06-13,5.09,13.0,0.4,0.4,3.78,-0.38,5.0,0.2,-1.4,0.2,-1.6
2014-06-16,1.24,-30.0,-1.4,-2.4,-9.34,1.18,5.0,-0.1,-0.0,0.2,-0.6
2014-06-17,-1.6,4.0,-0.0,-0.5,-1.15,-2.28,10.0,-0.2,1.3,1.4,-0.3
